CREATED_TIMESTAMP,METRIC_VALUE_FLOAT
30-APR-19 02.30.00 AM,0.45
30-APR-19 02.45.00 AM,0.36
30-APR-19 02.15.00 AM,0.49
30-APR-19 01.45.00 AM,0.43
30-APR-19 02.00.00 AM,0.44
30-APR-19 01.15.00 AM,0.59
30-APR-19 01.30.00 AM,0.47
30-APR-19 01.00.00 AM,0.86
30-APR-19 12.30.00 AM,0.79
30-APR-19 12.45.00 AM,0.92
30-APR-19 12.05.00 AM,0.6
30-APR-19 12.10.00 AM,0.86
30-APR-19 12.15.00 AM,1.06
30-APR-19 12.15.00 AM,1.06
30-APR-19 12.00.00 AM,1.49
30-APR-19 12.00.00 AM,1.49
01-MAY-19 11.45.00 PM,0.7
01-MAY-19 11.55.00 PM,0.69
01-MAY-19 11.50.00 PM,0.72
01-MAY-19 11.30.00 PM,1.17
01-MAY-19 11.15.00 PM,1.26
01-MAY-19 11.00.00 PM,1.81
01-MAY-19 10.45.00 PM,2.29
01-MAY-19 10.30.00 PM,2.11
01-MAY-19 10.15.00 PM,1.88
01-MAY-19 09.45.00 PM,2.68
01-MAY-19 10.00.00 PM,2.38
01-MAY-19 09.15.00 PM,2.97
01-MAY-19 09.30.00 PM,3.08
01-MAY-19 08.45.00 PM,2.5
01-MAY-19 09.00.00 PM,2.58
01-MAY-19 08.15.00 PM,2.57
01-MAY-19 08.30.00 PM,2.8
01-MAY-19 07.45.00 PM,1.91
01-MAY-19 08.00.00 PM,1.86
01-MAY-19 07.30.00 PM,2.11
01-MAY-19 07.00.00 PM,2.04
01-MAY-19 07.15.00 PM,2.31
01-MAY-19 06.30.00 PM,1.63
01-MAY-19 06.45.00 PM,1.96
01-MAY-19 06.15.00 PM,1.93
01-MAY-19 06.00.00 PM,1.89
01-MAY-19 05.30.00 PM,1.41
01-MAY-19 05.45.00 PM,1.31
01-MAY-19 05.00.00 PM,1.89
01-MAY-19 05.15.00 PM,1.62
01-MAY-19 04.45.00 PM,1.62
01-MAY-19 04.30.00 PM,1.33
01-MAY-19 04.15.00 PM,1.65
01-MAY-19 04.00.00 PM,1.78
01-MAY-19 03.30.00 PM,1.33
01-MAY-19 03.45.00 PM,2.02
01-MAY-19 03.00.00 PM,1.37
01-MAY-19 03.15.00 PM,1.05
01-MAY-19 02.30.00 PM,1.08
01-MAY-19 02.45.00 PM,1.35
01-MAY-19 02.15.00 PM,1.44
01-MAY-19 02.00.00 PM,1.73
01-MAY-19 01.30.00 PM,1.36
01-MAY-19 01.45.00 PM,1.48
01-MAY-19 01.00.00 PM,1.05
01-MAY-19 01.15.00 PM,1.41
01-MAY-19 12.45.00 PM,1.96
01-MAY-19 12.30.00 PM,1.72
01-MAY-19 12.15.00 PM,1.38
01-MAY-19 12.00.00 PM,1.58
01-MAY-19 11.45.00 AM,1.13
01-MAY-19 11.30.00 AM,1.01
01-MAY-19 11.15.00 AM,2.09
01-MAY-19 11.00.00 AM,1.47
01-MAY-19 10.45.00 AM,1.43
01-MAY-19 10.30.00 AM,1.64
01-MAY-19 10.15.00 AM,1.44
01-MAY-19 10.00.00 AM,1.05
01-MAY-19 09.45.00 AM,1.23
01-MAY-19 09.15.00 AM,1.06
01-MAY-19 09.30.00 AM,0.96
01-MAY-19 09.00.00 AM,0.77
01-MAY-19 08.45.00 AM,0.99
01-MAY-19 08.30.00 AM,0.82
01-MAY-19 08.00.00 AM,1.05
01-MAY-19 08.15.00 AM,0.96
01-MAY-19 07.45.00 AM,0.97
01-MAY-19 07.15.00 AM,1.14
01-MAY-19 07.30.00 AM,1.58
01-MAY-19 07.00.00 AM,1.18
01-MAY-19 06.30.00 AM,0.72
01-MAY-19 06.45.00 AM,0.47
01-MAY-19 06.00.00 AM,0.44
01-MAY-19 06.15.00 AM,0.76
01-MAY-19 05.45.00 AM,0.32
01-MAY-19 05.15.00 AM,1.1
01-MAY-19 05.30.00 AM,0.46
01-MAY-19 04.45.00 AM,0.36
01-MAY-19 05.00.00 AM,0.92
01-MAY-19 04.15.00 AM,0.44
01-MAY-19 04.30.00 AM,0.23
01-MAY-19 03.45.00 AM,0.28
01-MAY-19 04.00.00 AM,0.43
01-MAY-19 03.30.00 AM,0.32
01-MAY-19 03.00.00 AM,0.53
01-MAY-19 03.15.00 AM,0.4
01-MAY-19 02.45.00 AM,0.45
01-MAY-19 02.15.00 AM,0.79
01-MAY-19 02.30.00 AM,0.54
01-MAY-19 01.45.00 AM,0.53
01-MAY-19 02.00.00 AM,0.43
01-MAY-19 01.30.00 AM,0.45
01-MAY-19 01.15.00 AM,0.57
01-MAY-19 12.45.00 AM,0.8
01-MAY-19 01.00.00 AM,0.86
01-MAY-19 12.30.00 AM,0.7
01-MAY-19 12.15.00 AM,1.11
01-MAY-19 12.05.00 AM,0.54
01-MAY-19 12.10.00 AM,1.01
01-MAY-19 12.15.00 AM,1.11
01-MAY-19 12.00.00 AM,0.98
01-MAY-19 12.00.00 AM,0.98
02-MAY-19 11.50.00 PM,0.58
02-MAY-19 11.55.00 PM,0.92
02-MAY-19 11.30.00 PM,0.95
02-MAY-19 11.45.00 PM,0.9
02-MAY-19 11.15.00 PM,1.16
02-MAY-19 10.45.00 PM,1.37
02-MAY-19 11.00.00 PM,1.46
02-MAY-19 10.30.00 PM,2.36
02-MAY-19 10.00.00 PM,1.66
02-MAY-19 10.15.00 PM,2.24
02-MAY-19 09.30.00 PM,3.7
02-MAY-19 09.45.00 PM,1.49
02-MAY-19 09.15.00 PM,2.83
02-MAY-19 08.45.00 PM,2.35
02-MAY-19 09.00.00 PM,2.24
02-MAY-19 08.15.00 PM,2.99
02-MAY-19 08.30.00 PM,2.22
02-MAY-19 07.45.00 PM,1.82
02-MAY-19 08.00.00 PM,2.68
02-MAY-19 07.30.00 PM,1.77
02-MAY-19 07.15.00 PM,1.54
