CREATED_TIMESTAMP,METRIC_VALUE_FLOAT
15-MAY-19 03.15.00 AM,0.58
15-MAY-19 02.45.00 AM,0.63
15-MAY-19 02.15.00 AM,0.76
15-MAY-19 02.30.00 AM,0.6
15-MAY-19 02.00.00 AM,0.82
15-MAY-19 01.30.00 AM,0.99
15-MAY-19 01.45.00 AM,0.64
15-MAY-19 01.15.00 AM,0.84
15-MAY-19 12.45.00 AM,0.94
15-MAY-19 01.00.00 AM,0.62
15-MAY-19 12.30.00 AM,0.91
15-MAY-19 12.15.00 AM,1
15-MAY-19 12.05.00 AM,0.71
15-MAY-19 12.10.00 AM,1.14
15-MAY-19 12.15.00 AM,1
15-MAY-19 12.00.00 AM,1.72
15-MAY-19 12.00.00 AM,1.72
16-MAY-19 11.50.00 PM,0.9
16-MAY-19 11.55.00 PM,0.87
16-MAY-19 11.30.00 PM,1.28
16-MAY-19 11.45.00 PM,0.99
16-MAY-19 11.15.00 PM,1.78
16-MAY-19 10.45.00 PM,1.8
16-MAY-19 11.00.00 PM,1.46
16-MAY-19 10.15.00 PM,2.6
16-MAY-19 10.30.00 PM,2.22
16-MAY-19 10.00.00 PM,2.2
16-MAY-19 09.45.00 PM,1.71
16-MAY-19 09.30.00 PM,2.4
16-MAY-19 09.00.00 PM,2.21
16-MAY-19 09.15.00 PM,2.26
16-MAY-19 08.45.00 PM,1.87
16-MAY-19 08.15.00 PM,2.47
16-MAY-19 08.30.00 PM,1.99
16-MAY-19 08.00.00 PM,2.38
16-MAY-19 07.45.00 PM,2.29
16-MAY-19 07.30.00 PM,2.31
16-MAY-19 07.00.00 PM,2
16-MAY-19 07.15.00 PM,2.1
16-MAY-19 06.45.00 PM,1.88
16-MAY-19 06.15.00 PM,1.51
16-MAY-19 06.30.00 PM,2.27
16-MAY-19 05.45.00 PM,1.59
16-MAY-19 06.00.00 PM,1.76
16-MAY-19 05.30.00 PM,1.56
16-MAY-19 05.00.00 PM,2.25
16-MAY-19 05.15.00 PM,1.76
16-MAY-19 04.45.00 PM,1.73
16-MAY-19 04.30.00 PM,2.19
16-MAY-19 04.00.00 PM,2
16-MAY-19 04.15.00 PM,2.32
16-MAY-19 03.45.00 PM,2.27
16-MAY-19 03.00.00 PM,1.17
16-MAY-19 03.15.00 PM,1.12
16-MAY-19 02.30.00 PM,1.26
16-MAY-19 02.45.00 PM,1.15
16-MAY-19 02.00.00 PM,1.28
16-MAY-19 02.15.00 PM,1.56
16-MAY-19 01.45.00 PM,1.3
16-MAY-19 01.15.00 PM,1.58
16-MAY-19 01.30.00 PM,1.37
16-MAY-19 01.00.00 PM,1.43
16-MAY-19 12.45.00 PM,1.61
16-MAY-19 12.30.00 PM,1.69
16-MAY-19 12.00.00 PM,1.35
16-MAY-19 12.15.00 PM,1.64
16-MAY-19 11.45.00 AM,1.51
16-MAY-19 11.30.00 AM,1.04
16-MAY-19 11.00.00 AM,1.26
16-MAY-19 11.15.00 AM,1.4
16-MAY-19 10.45.00 AM,1.23
16-MAY-19 10.15.00 AM,1.72
16-MAY-19 10.30.00 AM,1.37
16-MAY-19 10.00.00 AM,1.54
16-MAY-19 09.30.00 AM,2.28
16-MAY-19 09.45.00 AM,1.72
16-MAY-19 09.00.00 AM,2.02
16-MAY-19 09.15.00 AM,1.41
16-MAY-19 08.45.00 AM,1.8
16-MAY-19 08.30.00 AM,1.27
16-MAY-19 08.00.00 AM,1.69
16-MAY-19 08.15.00 AM,1.18
16-MAY-19 07.45.00 AM,0.92
16-MAY-19 07.15.00 AM,0.91
16-MAY-19 07.30.00 AM,0.94
16-MAY-19 06.45.00 AM,0.92
16-MAY-19 07.00.00 AM,0.92
16-MAY-19 06.30.00 AM,0.64
16-MAY-19 06.00.00 AM,0.29
16-MAY-19 06.15.00 AM,0.6
16-MAY-19 05.30.00 AM,0.32
16-MAY-19 05.45.00 AM,0.22
16-MAY-19 05.00.00 AM,0.48
16-MAY-19 05.15.00 AM,0.35
16-MAY-19 04.45.00 AM,0.18
16-MAY-19 04.15.00 AM,0.23
16-MAY-19 04.30.00 AM,0.24
16-MAY-19 03.45.00 AM,0.27
16-MAY-19 04.00.00 AM,0.41
16-MAY-19 03.15.00 AM,0.61
16-MAY-19 03.30.00 AM,0.22
16-MAY-19 03.00.00 AM,0.4
16-MAY-19 02.30.00 AM,0.42
16-MAY-19 02.45.00 AM,0.47
16-MAY-19 02.00.00 AM,0.49
16-MAY-19 02.15.00 AM,0.66
16-MAY-19 01.45.00 AM,0.45
16-MAY-19 01.15.00 AM,0.65
16-MAY-19 01.30.00 AM,0.38
16-MAY-19 01.00.00 AM,0.73
16-MAY-19 12.30.00 AM,0.69
16-MAY-19 12.45.00 AM,0.65
16-MAY-19 12.00.00 AM,0.84
16-MAY-19 12.05.00 AM,0.92
16-MAY-19 12.10.00 AM,0.9
16-MAY-19 12.15.00 AM,0.83
16-MAY-19 12.00.00 AM,0.84
16-MAY-19 12.15.00 AM,0.83
17-MAY-19 11.30.00 PM,1.64
17-MAY-19 11.50.00 PM,1.06
17-MAY-19 11.55.00 PM,1.26
17-MAY-19 11.45.00 PM,1.47
17-MAY-19 11.15.00 PM,2.22
17-MAY-19 10.45.00 PM,2.2
17-MAY-19 11.00.00 PM,2.07
17-MAY-19 10.30.00 PM,2.76
17-MAY-19 10.15.00 PM,2.91
17-MAY-19 09.45.00 PM,1.72
17-MAY-19 10.00.00 PM,2.58
17-MAY-19 09.30.00 PM,1.76
17-MAY-19 09.15.00 PM,2.15
17-MAY-19 08.45.00 PM,3.24
17-MAY-19 09.00.00 PM,2.16
17-MAY-19 08.15.00 PM,2.36
17-MAY-19 08.30.00 PM,2.55
17-MAY-19 08.00.00 PM,2.26
17-MAY-19 07.30.00 PM,2.02
17-MAY-19 07.45.00 PM,2.23
17-MAY-19 07.00.00 PM,1.63
17-MAY-19 07.15.00 PM,2.11
17-MAY-19 06.45.00 PM,1.58
17-MAY-19 06.15.00 PM,1.66
17-MAY-19 06.30.00 PM,2.13
17-MAY-19 05.50.00 PM,1.45
17-MAY-19 05.55.00 PM,1.11
17-MAY-19 06.00.00 PM,2.1
17-MAY-19 06.00.00 PM,2.1
17-MAY-19 05.30.00 PM,1.5
17-MAY-19 05.45.00 PM,1.55
17-MAY-19 05.10.00 PM,1.66
17-MAY-19 05.05.00 PM,1.32
17-MAY-19 05.15.00 PM,1.31
17-MAY-19 05.15.00 PM,1.31
17-MAY-19 05.00.00 PM,2.12
17-MAY-19 04.30.00 PM,1.89
17-MAY-19 04.45.00 PM,1.9
17-MAY-19 04.00.00 PM,1.26
17-MAY-19 04.00.00 PM,1.26
17-MAY-19 04.15.00 PM,1.72
17-MAY-19 03.50.00 PM,0.92
17-MAY-19 03.55.00 PM,1.4
17-MAY-19 03.45.00 PM,1.34
17-MAY-19 03.30.00 PM,1
17-MAY-19 03.15.00 PM,1.96
17-MAY-19 03.00.00 PM,1.49
17-MAY-19 02.30.00 PM,1.21
17-MAY-19 02.45.00 PM,1.07
17-MAY-19 02.15.00 PM,1.57
17-MAY-19 02.00.00 PM,1.62
17-MAY-19 01.30.00 PM,1.03
17-MAY-19 01.45.00 PM,1.4
17-MAY-19 01.00.00 PM,2
17-MAY-19 01.15.00 PM,1.78
17-MAY-19 12.45.00 PM,1.16
17-MAY-19 12.15.00 PM,1.52
17-MAY-19 12.30.00 PM,1.19
17-MAY-19 11.45.00 AM,1.01
17-MAY-19 12.00.00 PM,1.03
17-MAY-19 11.30.00 AM,1.33
17-MAY-19 11.00.00 AM,1.09
17-MAY-19 11.15.00 AM,1.26
17-MAY-19 10.30.00 AM,1.03
17-MAY-19 10.45.00 AM,0.98
17-MAY-19 10.15.00 AM,2.1
17-MAY-19 09.45.00 AM,2.06
17-MAY-19 10.00.00 AM,2.13
17-MAY-19 09.30.00 AM,1.1
17-MAY-19 09.15.00 AM,1.94
17-MAY-19 08.45.00 AM,1.47
17-MAY-19 09.00.00 AM,1.43
17-MAY-19 08.15.00 AM,1.65
17-MAY-19 08.30.00 AM,1.69
17-MAY-19 08.00.00 AM,1.46
17-MAY-19 07.45.00 AM,0.92
17-MAY-19 07.30.00 AM,1.36
17-MAY-19 07.15.00 AM,0.84
17-MAY-19 06.45.00 AM,0.55
17-MAY-19 07.00.00 AM,0.79
17-MAY-19 06.15.00 AM,0.53
17-MAY-19 06.30.00 AM,0.57
17-MAY-19 06.00.00 AM,0.58
17-MAY-19 05.30.00 AM,0.58
17-MAY-19 05.45.00 AM,0.41
17-MAY-19 05.15.00 AM,0.43
17-MAY-19 04.45.00 AM,0.73
17-MAY-19 05.00.00 AM,0.48
17-MAY-19 04.15.00 AM,0.64
17-MAY-19 04.30.00 AM,0.67
17-MAY-19 03.45.00 AM,0.56
17-MAY-19 04.00.00 AM,0.8
17-MAY-19 03.30.00 AM,0.54
17-MAY-19 03.00.00 AM,0.29
17-MAY-19 03.15.00 AM,0.45
17-MAY-19 02.30.00 AM,0.46
17-MAY-19 02.45.00 AM,0.43
17-MAY-19 02.15.00 AM,0.51
17-MAY-19 01.45.00 AM,0.34
17-MAY-19 02.00.00 AM,0.5
17-MAY-19 01.30.00 AM,0.55
17-MAY-19 01.00.00 AM,0.95
17-MAY-19 01.15.00 AM,0.46
17-MAY-19 12.30.00 AM,0.82
17-MAY-19 12.45.00 AM,0.64
17-MAY-19 12.05.00 AM,0.91
17-MAY-19 12.10.00 AM,0.78
17-MAY-19 12.15.00 AM,0.8
17-MAY-19 12.15.00 AM,0.8
17-MAY-19 12.00.00 AM,1.02
17-MAY-19 12.00.00 AM,1.02
18-MAY-19 11.45.00 PM,1.61
18-MAY-19 11.50.00 PM,1.38
18-MAY-19 11.55.00 PM,1.02
18-MAY-19 11.15.00 PM,1.33
18-MAY-19 11.30.00 PM,1.72
18-MAY-19 10.45.00 PM,2.58
18-MAY-19 11.00.00 PM,1.43
18-MAY-19 10.15.00 PM,1.43
18-MAY-19 10.30.00 PM,2.09
18-MAY-19 10.00.00 PM,1.99
18-MAY-19 09.30.00 PM,1.95
18-MAY-19 09.45.00 PM,1.92
18-MAY-19 09.00.00 PM,2.32
18-MAY-19 09.15.00 PM,2.06
18-MAY-19 08.30.00 PM,1.84
18-MAY-19 08.45.00 PM,2.09
18-MAY-19 08.15.00 PM,2.34
18-MAY-19 08.00.00 PM,1.71
18-MAY-19 07.45.00 PM,2.59
18-MAY-19 07.15.00 PM,3.41
18-MAY-19 07.30.00 PM,2.93
18-MAY-19 07.00.00 PM,2.23
18-MAY-19 06.30.00 PM,1.88
18-MAY-19 06.45.00 PM,1.74
18-MAY-19 06.15.00 PM,2.6
18-MAY-19 06.00.00 PM,2.07
18-MAY-19 05.45.00 PM,1.94
18-MAY-19 05.30.00 PM,2.06
18-MAY-19 05.00.00 PM,1.94
18-MAY-19 05.15.00 PM,2.32
18-MAY-19 04.30.00 PM,2.38
18-MAY-19 04.45.00 PM,2.61
18-MAY-19 04.00.00 PM,1.63
18-MAY-19 04.15.00 PM,2.36
18-MAY-19 03.45.00 PM,1.38
18-MAY-19 03.15.00 PM,1.25
18-MAY-19 03.30.00 PM,1.18
18-MAY-19 03.00.00 PM,1.16
18-MAY-19 02.30.00 PM,2.1
18-MAY-19 02.45.00 PM,1.22
18-MAY-19 02.00.00 PM,1.88
18-MAY-19 02.15.00 PM,2.33
18-MAY-19 01.45.00 PM,1.93
18-MAY-19 01.15.00 PM,2.2
18-MAY-19 01.30.00 PM,1.71
18-MAY-19 01.00.00 PM,1.51
18-MAY-19 12.45.00 PM,1.7
18-MAY-19 12.30.00 PM,1.3
18-MAY-19 12.15.00 PM,1.83
18-MAY-19 12.00.00 PM,1.62
18-MAY-19 11.30.00 AM,2.12
18-MAY-19 11.45.00 AM,1.96
18-MAY-19 11.00.00 AM,1.15
18-MAY-19 11.15.00 AM,1.45
18-MAY-19 10.30.00 AM,1.55
18-MAY-19 10.45.00 AM,2.43
18-MAY-19 10.15.00 AM,1.17
18-MAY-19 09.45.00 AM,1.16
18-MAY-19 10.00.00 AM,1.56
18-MAY-19 09.15.00 AM,1.33
18-MAY-19 09.30.00 AM,1.14
18-MAY-19 09.00.00 AM,1.23
18-MAY-19 08.30.00 AM,1.02
18-MAY-19 08.45.00 AM,1.03
18-MAY-19 08.00.00 AM,1.45
18-MAY-19 08.15.00 AM,1.01
18-MAY-19 07.45.00 AM,2.47
18-MAY-19 07.30.00 AM,0.9
18-MAY-19 07.15.00 AM,0.81
18-MAY-19 07.00.00 AM,0.65
18-MAY-19 06.45.00 AM,0.7
18-MAY-19 06.15.00 AM,0.51
18-MAY-19 06.30.00 AM,0.49
18-MAY-19 06.00.00 AM,0.57
18-MAY-19 05.30.00 AM,0.29
18-MAY-19 05.45.00 AM,0.54
18-MAY-19 05.15.00 AM,0.55
18-MAY-19 04.45.00 AM,0.31
18-MAY-19 05.00.00 AM,0.34
18-MAY-19 04.15.00 AM,0.48
18-MAY-19 04.30.00 AM,0.41
18-MAY-19 03.45.00 AM,0.34
18-MAY-19 04.00.00 AM,0.44
18-MAY-19 03.15.00 AM,0.59
18-MAY-19 03.30.00 AM,0.32
18-MAY-19 03.00.00 AM,0.51
18-MAY-19 02.30.00 AM,0.37
18-MAY-19 02.45.00 AM,0.45
18-MAY-19 02.15.00 AM,0.61
18-MAY-19 01.45.00 AM,0.58
18-MAY-19 02.00.00 AM,0.58
18-MAY-19 01.15.00 AM,0.69
18-MAY-19 01.30.00 AM,0.59
18-MAY-19 01.00.00 AM,0.71
18-MAY-19 12.30.00 AM,0.81
18-MAY-19 12.45.00 AM,0.61
18-MAY-19 12.00.00 AM,0.99
18-MAY-19 12.10.00 AM,0.97
18-MAY-19 12.15.00 AM,1
18-MAY-19 12.05.00 AM,1.15
18-MAY-19 12.15.00 AM,1
18-MAY-19 12.00.00 AM,0.99
19-MAY-19 11.50.00 PM,0.63
19-MAY-19 11.55.00 PM,1.09
19-MAY-19 11.30.00 PM,1.12
19-MAY-19 11.45.00 PM,1.27
19-MAY-19 11.15.00 PM,1.46
19-MAY-19 10.45.00 PM,2.24
19-MAY-19 11.00.00 PM,1.7
19-MAY-19 10.30.00 PM,2.03
19-MAY-19 10.00.00 PM,2.46
19-MAY-19 10.15.00 PM,1.93
19-MAY-19 09.30.00 PM,3.33
19-MAY-19 09.45.00 PM,3.27
19-MAY-19 09.00.00 PM,3.48
19-MAY-19 09.15.00 PM,2.86
19-MAY-19 08.30.00 PM,2.35
19-MAY-19 08.45.00 PM,3.12
19-MAY-19 08.00.00 PM,1.94
19-MAY-19 08.15.00 PM,2.3
19-MAY-19 07.45.00 PM,2
19-MAY-19 07.30.00 PM,2.14
19-MAY-19 07.15.00 PM,2.42
19-MAY-19 07.00.00 PM,1.8
19-MAY-19 06.45.00 PM,1.91
19-MAY-19 06.15.00 PM,2.19
19-MAY-19 06.30.00 PM,1.82
19-MAY-19 05.45.00 PM,2.5
19-MAY-19 06.00.00 PM,2.08
19-MAY-19 05.30.00 PM,1.89
19-MAY-19 05.15.00 PM,2.04
19-MAY-19 05.00.00 PM,2.05
19-MAY-19 04.45.00 PM,1.76
19-MAY-19 04.15.00 PM,1.8
19-MAY-19 04.30.00 PM,1.59
19-MAY-19 03.45.00 PM,2.22
19-MAY-19 04.00.00 PM,1.98
19-MAY-19 03.15.00 PM,1.79
19-MAY-19 03.30.00 PM,1.62
19-MAY-19 03.00.00 PM,1.3
19-MAY-19 02.30.00 PM,1.63
19-MAY-19 02.45.00 PM,1.64
19-MAY-19 02.00.00 PM,1.64
19-MAY-19 02.15.00 PM,1.78
19-MAY-19 01.45.00 PM,1.94
19-MAY-19 01.30.00 PM,2.16
19-MAY-19 01.15.00 PM,2.15
19-MAY-19 12.45.00 PM,1.84
19-MAY-19 01.00.00 PM,2.33
19-MAY-19 12.15.00 PM,1.74
19-MAY-19 12.30.00 PM,1.36
19-MAY-19 11.45.00 AM,1.51
19-MAY-19 12.00.00 PM,1.7
19-MAY-19 11.30.00 AM,1.75
19-MAY-19 11.15.00 AM,1.55
19-MAY-19 10.45.00 AM,1.38
19-MAY-19 11.00.00 AM,1.54
19-MAY-19 10.30.00 AM,1.96
19-MAY-19 10.15.00 AM,1.25
19-MAY-19 10.00.00 AM,1.59
19-MAY-19 09.45.00 AM,1.18
19-MAY-19 09.30.00 AM,1.11
19-MAY-19 09.15.00 AM,1.36
19-MAY-19 09.00.00 AM,1.13
19-MAY-19 08.45.00 AM,1.19
19-MAY-19 08.30.00 AM,0.83
19-MAY-19 08.15.00 AM,0.95
19-MAY-19 08.00.00 AM,1.05
19-MAY-19 07.45.00 AM,0.71
19-MAY-19 07.30.00 AM,1.1
19-MAY-19 07.00.00 AM,0.62
19-MAY-19 07.15.00 AM,0.6
19-MAY-19 06.30.00 AM,0.42
19-MAY-19 06.45.00 AM,0.63
19-MAY-19 06.00.00 AM,0.43
19-MAY-19 06.15.00 AM,0.54
19-MAY-19 05.45.00 AM,0.55
19-MAY-19 05.15.00 AM,0.37
19-MAY-19 05.30.00 AM,0.33
19-MAY-19 04.45.00 AM,0.26
19-MAY-19 05.00.00 AM,0.25
19-MAY-19 04.30.00 AM,0.3
19-MAY-19 04.00.00 AM,0.47
19-MAY-19 04.15.00 AM,0.37
19-MAY-19 03.30.00 AM,0.3
19-MAY-19 03.45.00 AM,0.39
19-MAY-19 03.00.00 AM,0.39
19-MAY-19 03.15.00 AM,0.4
19-MAY-19 02.45.00 AM,0.33
19-MAY-19 02.15.00 AM,0.42
19-MAY-19 02.30.00 AM,0.42
19-MAY-19 02.00.00 AM,0.4
19-MAY-19 01.30.00 AM,0.7
19-MAY-19 01.45.00 AM,0.51
19-MAY-19 01.00.00 AM,0.64
19-MAY-19 01.15.00 AM,0.81
19-MAY-19 12.30.00 AM,1.76
19-MAY-19 12.45.00 AM,0.77
19-MAY-19 12.15.00 AM,1.82
19-MAY-19 12.00.00 AM,1.13
19-MAY-19 12.00.00 AM,1.13
20-MAY-19 11.30.00 PM,2.18
20-MAY-19 11.45.00 PM,1.74
20-MAY-19 11.00.00 PM,2.29
20-MAY-19 11.15.00 PM,2.36
20-MAY-19 10.45.00 PM,2.36
20-MAY-19 10.30.00 PM,1.93
20-MAY-19 10.15.00 PM,2.03
20-MAY-19 10.00.00 PM,1.79
20-MAY-19 09.30.00 PM,2.8
20-MAY-19 09.45.00 PM,2.07
20-MAY-19 09.15.00 PM,2.56
20-MAY-19 08.45.00 PM,3.03
20-MAY-19 09.00.00 PM,2.91
20-MAY-19 08.30.00 PM,3.02
20-MAY-19 08.15.00 PM,2.94
20-MAY-19 07.45.00 PM,2.33
20-MAY-19 08.00.00 PM,3.09
20-MAY-19 07.30.00 PM,2.33
20-MAY-19 07.15.00 PM,3.21
20-MAY-19 06.45.00 PM,1.98
20-MAY-19 07.00.00 PM,1.83
20-MAY-19 06.15.00 PM,1.7
20-MAY-19 06.30.00 PM,2.2
20-MAY-19 06.00.00 PM,1.57
20-MAY-19 05.45.00 PM,2.26
20-MAY-19 05.15.00 PM,2.11
20-MAY-19 05.30.00 PM,1.41
20-MAY-19 05.00.00 PM,2.71
20-MAY-19 04.45.00 PM,2.08
20-MAY-19 04.15.00 PM,2.07
20-MAY-19 04.30.00 PM,2.59
20-MAY-19 04.00.00 PM,1.8
20-MAY-19 03.30.00 PM,1.36
20-MAY-19 03.45.00 PM,1.41
20-MAY-19 03.15.00 PM,1.89
20-MAY-19 02.45.00 PM,1.2
20-MAY-19 03.00.00 PM,1.11
20-MAY-19 02.15.00 PM,1.32
20-MAY-19 02.30.00 PM,1.59
20-MAY-19 02.00.00 PM,2.21
20-MAY-19 01.30.00 PM,1.36
20-MAY-19 01.45.00 PM,2.08
20-MAY-19 01.00.00 PM,1.58
20-MAY-19 01.15.00 PM,1.57
20-MAY-19 12.45.00 PM,1.62
20-MAY-19 12.15.00 PM,1.98
20-MAY-19 12.30.00 PM,1.29
20-MAY-19 11.45.00 AM,2.04
20-MAY-19 12.00.00 PM,2.24
20-MAY-19 11.30.00 AM,2.33
20-MAY-19 11.15.00 AM,1.83
20-MAY-19 11.00.00 AM,2.77
20-MAY-19 10.45.00 AM,2.09
20-MAY-19 10.30.00 AM,1.46
20-MAY-19 10.15.00 AM,1.67
20-MAY-19 10.00.00 AM,2.94
20-MAY-19 09.45.00 AM,1.62
20-MAY-19 09.15.00 AM,1.72
20-MAY-19 09.30.00 AM,1.33
20-MAY-19 09.00.00 AM,2.94
20-MAY-19 08.45.00 AM,2.16
20-MAY-19 08.15.00 AM,1.36
20-MAY-19 08.30.00 AM,1.61
20-MAY-19 08.00.00 AM,1.8
20-MAY-19 07.30.00 AM,1.21
20-MAY-19 07.45.00 AM,1.52
20-MAY-19 07.00.00 AM,0.77
20-MAY-19 07.15.00 AM,1.46
20-MAY-19 06.45.00 AM,0.65
20-MAY-19 06.00.00 AM,0.52
20-MAY-19 06.15.00 AM,0.69
20-MAY-19 06.30.00 AM,0.54
20-MAY-19 05.45.00 AM,0.36
20-MAY-19 05.15.00 AM,0.39
20-MAY-19 05.30.00 AM,0.45
20-MAY-19 05.00.00 AM,0.42
20-MAY-19 04.30.00 AM,0.48
20-MAY-19 04.45.00 AM,0.35
20-MAY-19 04.00.00 AM,0.44
20-MAY-19 04.15.00 AM,0.48
20-MAY-19 03.45.00 AM,0.5
20-MAY-19 03.15.00 AM,0.64
20-MAY-19 03.30.00 AM,0.48
20-MAY-19 02.45.00 AM,0.92
20-MAY-19 03.00.00 AM,0.77
20-MAY-19 02.30.00 AM,0.77
20-MAY-19 02.00.00 AM,0.61
20-MAY-19 02.15.00 AM,0.72
20-MAY-19 01.30.00 AM,0.64
20-MAY-19 01.45.00 AM,0.64
20-MAY-19 01.00.00 AM,1.06
20-MAY-19 01.15.00 AM,0.81
20-MAY-19 12.45.00 AM,0.82
20-MAY-19 12.15.00 AM,0.91
20-MAY-19 12.30.00 AM,0.8
20-MAY-19 12.15.00 AM,0.91
20-MAY-19 12.00.00 AM,1.37
20-MAY-19 12.05.00 AM,0.69
20-MAY-19 12.10.00 AM,0.92
20-MAY-19 12.15.00 AM,0.91
20-MAY-19 12.10.00 AM,0.92
20-MAY-19 12.05.00 AM,0.69
20-MAY-19 12.00.00 AM,1.37
21-MAY-19 11.50.00 PM,0.95
21-MAY-19 11.35.00 PM,0.9
21-MAY-19 11.40.00 PM,1.19
21-MAY-19 11.45.00 PM,1.16
21-MAY-19 11.55.00 PM,0.95
21-MAY-19 11.00.00 PM,2.24
21-MAY-19 11.05.00 PM,1.2
21-MAY-19 11.10.00 PM,1.63
21-MAY-19 11.15.00 PM,1.94
21-MAY-19 11.30.00 PM,1.31
21-MAY-19 11.20.00 PM,1.15
21-MAY-19 11.25.00 PM,1.27
21-MAY-19 10.50.00 PM,1.36
21-MAY-19 10.55.00 PM,1.72
21-MAY-19 10.35.00 PM,1.31
21-MAY-19 10.40.00 PM,2.04
21-MAY-19 10.45.00 PM,2.26
21-MAY-19 10.05.00 PM,1.68
21-MAY-19 10.10.00 PM,1.92
21-MAY-19 10.15.00 PM,1.92
21-MAY-19 10.20.00 PM,1.47
21-MAY-19 10.25.00 PM,1.69
21-MAY-19 10.30.00 PM,2.73
21-MAY-19 09.50.00 PM,1.63
21-MAY-19 09.55.00 PM,1.82
21-MAY-19 10.00.00 PM,2.62
21-MAY-19 09.15.00 PM,2.7
21-MAY-19 09.05.00 PM,2.08
21-MAY-19 09.10.00 PM,2.38
21-MAY-19 09.20.00 PM,1.69
21-MAY-19 09.25.00 PM,2.38
21-MAY-19 09.30.00 PM,2.99
21-MAY-19 09.40.00 PM,1.65
21-MAY-19 09.45.00 PM,2.31
21-MAY-19 09.35.00 PM,1.31
21-MAY-19 08.50.00 PM,1.67
21-MAY-19 08.55.00 PM,2.52
21-MAY-19 09.00.00 PM,3.15
21-MAY-19 08.35.00 PM,2.18
21-MAY-19 08.40.00 PM,2.58
21-MAY-19 08.45.00 PM,2.57
21-MAY-19 08.20.00 PM,1.5
21-MAY-19 08.25.00 PM,1.84
21-MAY-19 08.30.00 PM,2.29
21-MAY-19 07.50.00 PM,1.51
21-MAY-19 07.55.00 PM,1.43
21-MAY-19 08.00.00 PM,1.82
21-MAY-19 08.05.00 PM,1.6
21-MAY-19 08.10.00 PM,1.84
21-MAY-19 08.15.00 PM,1.87
21-MAY-19 07.20.00 PM,1.55
21-MAY-19 07.25.00 PM,1.86
21-MAY-19 07.30.00 PM,2.16
21-MAY-19 07.35.00 PM,1.2
21-MAY-19 07.40.00 PM,1.74
21-MAY-19 07.45.00 PM,2.08
21-MAY-19 06.35.00 PM,1.39
21-MAY-19 06.40.00 PM,2.12
21-MAY-19 06.45.00 PM,2.47
21-MAY-19 06.55.00 PM,1.89
21-MAY-19 06.50.00 PM,1.51
21-MAY-19 07.00.00 PM,2.33
21-MAY-19 07.05.00 PM,1.86
21-MAY-19 07.10.00 PM,1.77
21-MAY-19 07.15.00 PM,2.03
21-MAY-19 06.20.00 PM,1.16
21-MAY-19 06.25.00 PM,1.56
21-MAY-19 06.30.00 PM,2.01
21-MAY-19 06.00.00 PM,1.51
21-MAY-19 06.15.00 PM,1.78
21-MAY-19 06.05.00 PM,1.26
21-MAY-19 06.10.00 PM,1.49
21-MAY-19 05.55.00 PM,1.48
21-MAY-19 05.50.00 PM,1.07
21-MAY-19 05.20.00 PM,1.55
21-MAY-19 05.25.00 PM,1.27
21-MAY-19 05.45.00 PM,1.57
21-MAY-19 05.35.00 PM,0.89
21-MAY-19 05.40.00 PM,1.4
21-MAY-19 04.50.00 PM,1.1
21-MAY-19 04.55.00 PM,1.63
21-MAY-19 05.00.00 PM,2.1
21-MAY-19 05.05.00 PM,1.25
21-MAY-19 05.10.00 PM,1.38
21-MAY-19 05.15.00 PM,1.34
21-MAY-19 05.30.00 PM,1.6
21-MAY-19 04.35.00 PM,1.03
21-MAY-19 04.40.00 PM,1.41
21-MAY-19 04.45.00 PM,1.43
21-MAY-19 03.55.00 PM,1.84
21-MAY-19 03.50.00 PM,1.47
21-MAY-19 04.00.00 PM,2.96
21-MAY-19 04.15.00 PM,2.05
21-MAY-19 04.05.00 PM,1.57
21-MAY-19 04.10.00 PM,1.98
21-MAY-19 04.20.00 PM,1.01
21-MAY-19 04.25.00 PM,2.04
21-MAY-19 04.30.00 PM,1.89
21-MAY-19 03.15.00 PM,1.36
21-MAY-19 03.05.00 PM,1.59
21-MAY-19 03.10.00 PM,1.93
21-MAY-19 03.20.00 PM,1.03
21-MAY-19 03.25.00 PM,1.45
21-MAY-19 03.30.00 PM,1.3
21-MAY-19 03.35.00 PM,0.91
21-MAY-19 03.40.00 PM,1.16
21-MAY-19 03.45.00 PM,1.74
21-MAY-19 02.50.00 PM,0.98
21-MAY-19 02.55.00 PM,1.58
21-MAY-19 03.00.00 PM,1.88
21-MAY-19 02.35.00 PM,0.85
21-MAY-19 02.40.00 PM,1.1
21-MAY-19 02.45.00 PM,1.7
21-MAY-19 02.20.00 PM,1.09
21-MAY-19 02.25.00 PM,1.4
21-MAY-19 02.30.00 PM,1.27
21-MAY-19 01.50.00 PM,1.14
21-MAY-19 01.55.00 PM,1.72
21-MAY-19 02.00.00 PM,1.56
21-MAY-19 02.05.00 PM,2.09
21-MAY-19 02.10.00 PM,1.57
21-MAY-19 02.15.00 PM,1.47
21-MAY-19 01.05.00 PM,1.04
21-MAY-19 01.10.00 PM,1.34
21-MAY-19 01.15.00 PM,1.64
21-MAY-19 01.30.00 PM,1.22
21-MAY-19 01.20.00 PM,0.86
21-MAY-19 01.25.00 PM,1.12
21-MAY-19 01.35.00 PM,1.12
21-MAY-19 01.40.00 PM,1.17
21-MAY-19 01.45.00 PM,1.64
21-MAY-19 12.55.00 PM,1.17
21-MAY-19 12.50.00 PM,1.45
